id	assignment	url
618099	megalista	https://www.inaturalist.org/observations/618099
968982	megalista	https://www.inaturalist.org/observations/968982
974099	megalista	https://www.inaturalist.org/observations/974099
974159	megalista	https://www.inaturalist.org/observations/974159
982059	megalista	https://www.inaturalist.org/observations/982059
982717	megalista	https://www.inaturalist.org/observations/982717
1041548	megalista	https://www.inaturalist.org/observations/1041548
1058713	megalista	https://www.inaturalist.org/observations/1058713
1065500	megalista	https://www.inaturalist.org/observations/1065500
1154720	megalista	https://www.inaturalist.org/observations/1154720
1929757	megalista	https://www.inaturalist.org/observations/1929757
2065049	megalista	https://www.inaturalist.org/observations/2065049
2793313	megalista	https://www.inaturalist.org/observations/2793313
2879021	megalista	https://www.inaturalist.org/observations/2879021
3088686	megalista	https://www.inaturalist.org/observations/3088686
3156184	megalista	https://www.inaturalist.org/observations/3156184
3176390	megalista	https://www.inaturalist.org/observations/3176390
3278523	megalista	https://www.inaturalist.org/observations/3278523
3312846	megalista	https://www.inaturalist.org/observations/3312846
3691618	megalista	https://www.inaturalist.org/observations/3691618
3702095	megalista	https://www.inaturalist.org/observations/3702095
3734614	megalista	https://www.inaturalist.org/observations/3734614
3902763	megalista	https://www.inaturalist.org/observations/3902763
4299489	megalista	https://www.inaturalist.org/observations/4299489
4453678	megalista	https://www.inaturalist.org/observations/4453678
4669659	megalista	https://www.inaturalist.org/observations/4669659
4673298	megalista	https://www.inaturalist.org/observations/4673298
5082626	megalista	https://www.inaturalist.org/observations/5082626
5091280	megalista	https://www.inaturalist.org/observations/5091280
6514864	megalista	https://www.inaturalist.org/observations/6514864
7078967	megalista	https://www.inaturalist.org/observations/7078967
7466490	megalista	https://www.inaturalist.org/observations/7466490
7469604	megalista	https://www.inaturalist.org/observations/7469604
7487125	megalista	https://www.inaturalist.org/observations/7487125
7487177	megalista	https://www.inaturalist.org/observations/7487177
7504017	megalista	https://www.inaturalist.org/observations/7504017
7517584	megalista	https://www.inaturalist.org/observations/7517584
7528864	megalista	https://www.inaturalist.org/observations/7528864
7653175	megalista	https://www.inaturalist.org/observations/7653175
7772854	megalista	https://www.inaturalist.org/observations/7772854
7874684	megalista	https://www.inaturalist.org/observations/7874684
7941096	megalista	https://www.inaturalist.org/observations/7941096
8230308	megalista	https://www.inaturalist.org/observations/8230308
8230656	megalista	https://www.inaturalist.org/observations/8230656
8395320	megalista	https://www.inaturalist.org/observations/8395320
8395622	megalista	https://www.inaturalist.org/observations/8395622
8395878	megalista	https://www.inaturalist.org/observations/8395878
8396102	megalista	https://www.inaturalist.org/observations/8396102
8402868	megalista	https://www.inaturalist.org/observations/8402868
8448549	megalista	https://www.inaturalist.org/observations/8448549
8517602	megalista	https://www.inaturalist.org/observations/8517602
8561368	megalista	https://www.inaturalist.org/observations/8561368
8652177	megalista	https://www.inaturalist.org/observations/8652177
8685678	megalista	https://www.inaturalist.org/observations/8685678
8687819	megalista	https://www.inaturalist.org/observations/8687819
8747445	megalista	https://www.inaturalist.org/observations/8747445
8803549	megalista	https://www.inaturalist.org/observations/8803549
8844627	megalista	https://www.inaturalist.org/observations/8844627
8959018	megalista	https://www.inaturalist.org/observations/8959018
9024343	megalista	https://www.inaturalist.org/observations/9024343
9060332	megalista	https://www.inaturalist.org/observations/9060332
9060359	megalista	https://www.inaturalist.org/observations/9060359
9161806	megalista	https://www.inaturalist.org/observations/9161806
9161809	megalista	https://www.inaturalist.org/observations/9161809
9236861	megalista	https://www.inaturalist.org/observations/9236861
9499879	megalista	https://www.inaturalist.org/observations/9499879
9512810	megalista	https://www.inaturalist.org/observations/9512810
9629493	megalista	https://www.inaturalist.org/observations/9629493
9693735	megalista	https://www.inaturalist.org/observations/9693735
9756204	megalista	https://www.inaturalist.org/observations/9756204
9856420	megalista	https://www.inaturalist.org/observations/9856420
9856770	megalista	https://www.inaturalist.org/observations/9856770
9986226	megalista	https://www.inaturalist.org/observations/9986226
9987324	megalista	https://www.inaturalist.org/observations/9987324
10096135	megalista	https://www.inaturalist.org/observations/10096135
10199882	megalista	https://www.inaturalist.org/observations/10199882
10355105	megalista	https://www.inaturalist.org/observations/10355105
10468732	megalista	https://www.inaturalist.org/observations/10468732
10557753	megalista	https://www.inaturalist.org/observations/10557753
10671735	megalista	https://www.inaturalist.org/observations/10671735
11309008	megalista	https://www.inaturalist.org/observations/11309008
11958265	megalista	https://www.inaturalist.org/observations/11958265
12083958	megalista	https://www.inaturalist.org/observations/12083958
12444231	megalista	https://www.inaturalist.org/observations/12444231
12630293	megalista	https://www.inaturalist.org/observations/12630293
12642341	megalista	https://www.inaturalist.org/observations/12642341
12669724	megalista	https://www.inaturalist.org/observations/12669724
12819119	megalista	https://www.inaturalist.org/observations/12819119
12851663	megalista	https://www.inaturalist.org/observations/12851663
13226326	megalista	https://www.inaturalist.org/observations/13226326
13581041	megalista	https://www.inaturalist.org/observations/13581041
13681971	megalista	https://www.inaturalist.org/observations/13681971
14001340	megalista	https://www.inaturalist.org/observations/14001340
14252406	megalista	https://www.inaturalist.org/observations/14252406
14299491	megalista	https://www.inaturalist.org/observations/14299491
14816397	megalista	https://www.inaturalist.org/observations/14816397
15002730	megalista	https://www.inaturalist.org/observations/15002730
15011768	megalista	https://www.inaturalist.org/observations/15011768
